Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,257.1757947,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,666.7950511,633.569247
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,4.826865367,9.833164022,17.71624331,29.22037376,37.89493697,45.77817474,60.32631999,65.45219346,70.66135885,74.88284241
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,6.39
Afghanistan,AFG,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.485437,4411.258241,4564.390339
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,47.87802749,60.06734238,73.35038415,58.91235149,78.1845877,85.468247,98.29153459,110.6865316,116.1572081,105.4699657
Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1
Albania,ALB,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,58.5,58,47.90000153,..,44.09999847,..,..,..,..,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3102.037384,3467.54474,3939.559939,4912.251941,3875.822095,4473.486446,5447.403976,5583.61616,5491.614414,5484.066806
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,40.22671305,60.85091077,78.53288666,75.6646235,89.95836607,88.44487548,94.31443964,97.52089467,100.7877205,93.31075022
Algeria,DZA,Internet users (per 100 people),IT.NET.USER.P2,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14,15.22802676,16.5,18.09
Algeria,DZA,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,10.80000019,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,3,..,..,..,..
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,39990.33041,42417.22915,47253.5298,46735.99957,42701.44714,39639.38602,41630.05258,39666.36921,42806.52255,..
Andorra,ADO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,79.48487497,84.27763597,78.1171579,80.2836099,82.06181111,84.06818386,83.53432222,81.50204186,80.70261809,82.64319489
Andorra,ADO,Internet users (per 100 people),IT.NET.USER.P2,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9
Andorra,ADO,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2063.922202,2825.07349,3402.14598,4462.125351,3565.181589,3928.824514,5053.738649,5531.776299,5900.52957,..
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,9.738161173,17.83989624,28.01098233,36.98368954,42.84657348,48.10120904,59.82618856,61.40627578,61.87329711,63.4792082
Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,1.143366827,1.907647507,3.2,4.6,6,10,14.776,16.93721011,19.1,21.26
Angola,AGO,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,12079.8657,13599.90886,15276.06826,15786.17284,13979.26269,13017.31039,12817.84157,13525.61622,13342.085,13432.07933
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,104.1603585,132.0006709,133.1575767,160.0393678,156.3441483,192.5532769,199.6642164,143.0138432,127.0856254,120.0180412
Antigua and Barbuda,ATG,Internet users (per 100 people),IT.NET.USER.P2,27,30,34,38,42,47,52,58,63.4,64
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,2.799999952,2.799999952,2.799999952,2.799999952,..,..,..,..,..,..
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,3763.071285,4358.297285,4985.822104,6171.031285,5209.144916,5955.064756,6911.566859,7465.145864,7498.228102,7386.428444
Arab World,ARB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,26.79003996,38.84567204,52.5371804,62.92096882,76.15636661,87.62881811,98.87331388,105.0371746,110.0126103,109.1522643
Arab World,ARB,Internet users (per 100 people),IT.NET.USER.P2,8.393141725,11.65464791,14.20590224,18.59353118,21.5453539,24.5357799,26.53401309,29.95430206,32.34204501,34.51737473
Arab World,ARB,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,..,..,..,..,..,..,24.18171816,..,..,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,5640.848503,6639.909435,8239.137161,9999.093517,9231.3829,11198.64257,13392.9169,14357.41159,14443.06565,12509.53112
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,57.32899426,80.81882641,102.7215283,117.2211834,131.1294492,141.383022,149.0906224,156.564756,162.5274217,158.735762
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7
Argentina,ARG,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,1.100000024,1,0.899999976,1.200000048,0.699999988,3,3.099999905,0.600000024,0.600000024,0.5
