"","X.1","X","Date","Latitude","Longitude"
"1",1,1,1857-11-25,38.600423,-90.221624
"2",2,2,1858-01-18,30.696441,-88.180356
"3",3,3,1858-03-21,30.696441,-88.180356
"4",4,4,1858-05-02,39.311111,-94.922464
"5",5,5,1858-12-30,38.600423,-90.221624
"6",6,6,1860-05-20,43.919952,-94.70262
"7",7,7,1864-08-02,35.136443,-89.302732
"8",8,8,1864-09-12,37.005329,-89.176461
"9",9,9,1864-12-30,36.162664,-86.781602
"10",10,10,1865-03-24,30.696441,-88.180356
"11",11,11,1865-06-23,32.366805,-86.299969
"12",12,12,1865-09-16,35.706522,-81.218693
"13",13,13,1867-08-30,35.706522,-81.218693
"14",14,14,1868-06-28,35.706522,-81.218693
"15",15,15,1868-09-20,35.706522,-81.218693
"16",16,16,1869-03-28,35.706522,-81.218693
"17",17,17,1870-02-01,35.706522,-81.218693
"18",18,18,1899-12-11,35.706522,-81.218693
"19",19,19,1925-07-12,47.65878,-117.426047
"20",20,20,1925-08-14,47.65878,-117.426047
"21",21,21,1925-10-24,47.65878,-117.426047
"22",22,22,1925-11-03,47.65878,-117.426047
"23",23,23,1925-11-27,47.65878,-117.426047
"24",24,24,1926-01-19,47.65878,-117.426047
"25",25,25,1926-03-24,47.65878,-117.426047
"26",26,26,1926-05-01,47.65878,-117.426047
"27",27,27,1926-09-16,44.055391,-91.666352
"28",28,28,1926-11-16,44.055391,-91.666352
"29",29,29,1928-01-04,44.055391,-91.666352
"30",30,30,1927-05-07,44.055391,-91.666352
"31",31,31,1927-09-21,44.055391,-91.666352
"32",32,32,1927-10-29,44.055391,-91.666352
"33",33,33,1928-09-07,44.055391,-91.666352
"34",34,34,1929-12-04,44.055391,-91.666352
"35",35,35,1930-12-08,44.055391,-91.666352
"36",36,36,1931-10-29,44.055391,-91.666352
"37",39,39,1925-12-13,47.65878,-117.426047
"38",40,40,1927-02-12,44.055391,-91.666352
"39",41,41,1928-11-05,43.038903,-87.906474
"40",42,42,1928-12-26,43.038903,-87.906474
"41",43,43,1929-01-07,43.038903,-87.906474
"42",44,44,1929-03-19,43.038903,-87.906474
"43",45,45,1929-05-12,42.886447,-78.878369
"44",46,46,1929-06-30,42.886447,-78.878369
"45",47,47,1930-10-08,42.886447,-78.878369
"46",48,48,1930-11-19,42.886447,-78.878369
"47",49,49,1930-12-26,42.886447,-78.878369
"48",50,50,1927-09-20,43.038903,-87.906474
"49",51,51,1927-05-12,43.038903,-87.906474
"50",52,52,1927-06-21,43.038903,-87.906474
"51",53,53,1927-08-02,43.038903,-87.906474
"52",54,54,1930-12-15,43.038903,-87.906474
"53",55,55,1924-12-01,44.088606,-87.657584
"54",56,56,1925-03-26,44.088606,-87.657584
"55",57,57,1873-12-31,33.787794,-117.853112
"56",58,58,1852-06-13,39.103118,-84.51202
"57",59,59,1859-06-05,39.103118,-84.51202
"58",60,60,1852-06-13,39.103118,-84.51202
"59",61,61,1854-05-04,39.103118,-84.51202
"60",62,62,1859-06-05,39.103118,-84.51202
"61",63,63,1866-11-21,39.103118,-84.51202
"62",64,64,1850-01-25,39.103118,-84.51202
"63",65,65,1851-01-26,39.103118,-84.51202
"64",66,66,1853-07-07,39.103118,-84.51202
"65",67,67,1854-06-14,39.091449,-84.495776
"66",68,68,1855-03-04,41.291673,-92.649359
"67",69,69,1855-04-03,41.291673,-92.649359
"68",70,70,1856-04-13,41.291673,-92.649359
"69",71,71,1856-11-22,41.291673,-92.649359
"70",72,72,1857-02-01,41.291673,-92.649359
"71",73,73,1857-10-29,41.291673,-92.649359
"72",74,74,1858-12-20,41.291673,-92.649359
"73",75,75,1859-04-15,41.291673,-92.649359
"74",76,76,1861-01-07,41.291673,-92.649359
"75",77,77,1866-03-15,41.291673,-92.649359
"76",78,78,1866-10-05,41.291673,-92.649359
"77",79,79,1867-02-22,41.291673,-92.649359
"78",80,80,1867-12-08,41.291673,-92.649359
"79",81,81,1854-06-13,39.091449,-84.495776
"80",82,82,1854-07-10,39.091449,-84.495776
"81",83,83,1856-04-21,41.291673,-92.649359
"82",84,84,1856-11-25,41.291673,-92.649359
"83",86,86,1857-01-02,41.291673,-92.649359
"84",87,87,1857-10-29,41.291673,-92.649359
"85",88,88,1859-12-01,40.359211,-91.434598
"86",89,89,1860-11-18,40.359211,-91.434598
"87",90,90,1860-12-05,40.359211,-91.434598
"88",91,91,1862-04-10,40.359211,-91.434598
"89",92,92,1850-01-25,39.103118,-84.51202
"90",93,93,1851-01-26,39.103118,-84.51202
"91",94,94,1852-06-13,41.291673,-92.649359
"92",95,95,1853-07-07,39.103118,-84.51202
"93",96,96,1854-04-02,41.291673,-92.649359
"94",97,97,1854-06-14,39.091449,-84.495776
"95",98,98,1855-03-04,41.291673,-92.649359
"96",99,99,1855-03-04,41.291673,-92.649359
"97",100,100,1856-04-13,41.291673,-92.649359
"98",101,101,1856-04-13,41.291673,-92.649359
"99",102,102,1856-11-22,41.291673,-92.649359
"100",104,104,1857-02-01,41.291673,-92.649359
"101",105,105,1857-10-29,41.291673,-92.649359
"102",106,106,1858-12-20,41.291673,-92.649359
"103",107,107,1859-04-15,41.291673,-92.649359
"104",108,108,1861-01-07,41.291673,-92.649359
"105",109,109,1866-03-15,41.291673,-92.649359
"106",110,110,1854-06-13,39.091449,-84.495776
"107",111,111,1854-07-10,39.091449,-84.495776
"108",112,112,1855-03-22,41.291673,-92.649359
"109",113,113,1856-04-21,41.291673,-92.649359
"110",114,114,1856-08-14,41.291673,-92.649359
"111",115,115,1859-12-01,40.359211,-91.434598
"112",116,116,1860-11-18,40.359211,-91.434598
"113",117,117,1862-04-10,40.359211,-91.434598
"114",118,118,1854-01-27,42.331427,-83.045754
"115",119,119,1854-01-29,42.331427,-83.045754
"116",121,121,1861-09-10,42.331427,-83.045754
"117",122,122,1854-11-22,42.331427,-83.045754
"118",124,124,1870-09-28,42.331427,-83.045754
"119",125,125,1880-04-25,42.331427,-83.045754
"120",126,126,1857-07-27,42.331427,-83.045754
"121",127,127,1869-07-17,42.331427,-83.045754
"122",129,129,1857-10-18,42.331427,-83.045754
"123",130,130,1858-06-29,42.331427,-83.045754
"124",131,131,1864-02-16,42.331427,-83.045754
"125",132,132,1869-07-18,42.331427,-83.045754
"126",133,133,1855-04-08,42.331427,-83.045754
"127",134,134,1857-07-26,42.331427,-83.045754
"128",135,135,1857-08-11,42.331427,-83.045754
"129",136,136,1858-02-14,42.331427,-83.045754
"130",137,137,1858-06-29,42.331427,-83.045754
"131",138,138,1860-11-09,42.331427,-83.045754
"132",139,139,1864-08-24,42.331427,-83.045754
"133",140,140,1864-10-02,42.331427,-83.045754
"134",141,141,1867-04-25,42.331427,-83.045754
"135",142,142,1867-04-25,42.331427,-83.045754
"136",143,143,1867-09-12,42.331427,-83.045754
"137",144,144,1869-03-25,42.331427,-83.045754
"138",145,145,1869-06-20,42.331427,-83.045754
"139",146,146,1872-06-30,42.331427,-83.045754
"140",147,147,1874-12-26,42.331427,-83.045754
"141",148,148,1875-02-21,42.331427,-83.045754
"142",149,149,1876-05-25,42.331427,-83.045754
"143",150,150,1876-11-26,42.331427,-83.045754
"144",151,151,1877-04-02,42.331427,-83.045754
"145",152,152,1878-08-11,42.331427,-83.045754
"146",153,153,1884-03-28,42.331427,-83.045754
"147",158,158,1859-01-10,42.331427,-83.045754
"148",159,159,1859-09-25,42.331427,-83.045754
"149",160,160,1860-04-17,42.331427,-83.045754
"150",161,161,1862-03-30,42.331427,-83.045754
