,Sender.Location,Sender.LatLong.String,Receiver.Location,Receiver.LatLong.String,Date,Category
28,"USA, St Louis (MS)",38.600423 -90.221624,"DEU, Templin",53.116887 13.497969,1857-11-25,A
29,"USA, Mobile (AL)",30.696441 -88.180356,"DEU, Templin",53.116887 13.497969,1858-01-18,A
30,"USA, Mobile (AL)",30.696441 -88.180356,"DEU, Templin",53.116887 13.497969,1858-03-21,B
31,"USA, Laevenworth City (KA)",39.311111 -94.922464,"DEU, Templin",53.116887 13.497969,1858-05-02,B
32,"USA, St Louis (MS)",38.600423 -90.221624,"DEU, Templin",53.116887 13.497969,1858-12-30,B
33,"USA, Park County (KA)",43.919952 -94.70262,"DEU, Templin",53.116887 13.497969,1860-05-20,B
34,"USA, Lagrange (TN)",35.136443 -89.302732,"DEU, Templin",53.116887 13.497969,1864-08-02,B
35,"USA, Cairo (IL)",37.005329 -89.176461,"DEU, Templin",53.116887 13.497969,1864-09-12,B
36,"USA, Nashville (TN)",36.162664 -86.781602,"DEU, Templin",53.116887 13.497969,1864-12-30,B
37,"USA, Mobile (AL)",30.696441 -88.180356,"DEU, Templin",53.116887 13.497969,1865-03-24,B
38,"USA, Montgomery (AL)",32.366805 -86.299969,"DEU, Templin",53.116887 13.497969,1865-06-23,B
39,"USA, Conover (NC)",35.706522 -81.218693,"DEU, Templin",53.116887 13.497969,1865-09-16,B
40,"USA, Conover (NC)",35.706522 -81.218693,"DEU, Templin",53.116887 13.497969,1867-08-30,B
41,"USA, Conover (NC)",35.706522 -81.218693,"DEU, Templin",53.116887 13.497969,1868-06-28,B
42,"USA, Conover (NC)",35.706522 -81.218693,"DEU, Templin",53.116887 13.497969,1868-09-20,B
43,"USA, Conover (NC)",35.706522 -81.218693,"DEU, Templin",53.116887 13.497969,1869-03-28,B
44,"USA, Conover (NC)",35.706522 -81.218693,"DEU, Templin",53.116887 13.497969,1870-02-01,B
45,"USA, Conover (NC)",35.706522 -81.218693,"DEU, Templin",53.116887 13.497969,1899-12-11,B
92,"USA, Orange (NJ)",33.787794 -117.853112,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1873-12-31,C
93,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1852-06-13,C
94,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1859-06-05,C
95,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1852-06-13,C
96,"USA, Cincinnati (OH)",39.103118 -84.51202,"DEU, Ribnitz (Mecklenburg)",54.252211 12.439749,1854-05-04,C
